"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\assets\jsons\documentReviewForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\functionList.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testPlanForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testPlanVerificationForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testRecordsForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\assets\jsons\testReportForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\jsonGenerator\generator.js", "JavaScript", 562, 0, 0, 0, 2, 564
"d:\vue_learn\online-test-system\src\pages\Forms\DocumentReviewForm.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\vue_learn\online-test-system\src\pages\Forms\TestFunctionList.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanForm.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanVerifyForm.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\vue_learn\online-test-system\src\pages\Forms\TestRecordsForm.vue", "Vue", 0, 5, 0, 0, 0, 5
"d:\vue_learn\online-test-system\src\pages\Forms\TestReportForm.vue", "Vue", 0, 12, 0, 0, 0, 12
"d:\vue_learn\online-test-system\src\pages\Tables\AdminItemTable.vue", "Vue", 0, 13, 0, 0, 0, 13
"d:\vue_learn\online-test-system\src\pages\Tables\EmployeeItemTable.vue", "Vue", 0, 1, 0, 0, 0, 1
"d:\vue_learn\online-test-system\src\pages\Tables\ItemForArrange.vue", "Vue", 0, 13, 0, 0, 0, 13
"Total", "-", 562, 64, 6, 0, 2, 634
