"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeCheckTestWork.vue", "Vue", 0, 57, 0, 0, 3, 60
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeEditTestReport.vue", "Vue", 0, 41, 0, 0, 3, 44
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeQuotation.vue", "Vue", 0, 36, 0, 0, 2, 38
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeTestProcess.vue", "Vue", 0, 65, 0, 0, 3, 68
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeVerifyTestPlan.vue", "Vue", 0, 53, 0, 0, 3, 56
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeVerifyTestReport.vue", "Vue", 0, 57, 0, 0, 3, 60
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeWriteTestPlan.vue", "Vue", 0, 41, 0, 0, 3, 44
"d:\vue_learn\online-test-system\src\pages\Tables\AdminItemTable.vue", "Vue", 0, 94, 0, 0, 4, 98
"d:\vue_learn\online-test-system\src\pages\Tables\ClientAuthorityTable.vue", "Vue", 0, 57, 0, 0, 2, 59
"d:\vue_learn\online-test-system\src\pages\Tables\ClientItemTable.vue", "Vue", 0, 90, 0, 0, 4, 94
"d:\vue_learn\online-test-system\src\pages\Tables\ClientTable.vue", "Vue", 0, 85, 0, 0, 2, 87
"d:\vue_learn\online-test-system\src\pages\Tables\EmployeeItemTable.vue", "Vue", 0, 89, 0, 0, 2, 91
"d:\vue_learn\online-test-system\src\pages\Tables\EmployeeTable.vue", "Vue", 0, 92, 0, 0, 2, 94
"d:\vue_learn\online-test-system\src\pages\Tables\ItemForArrange.vue", "Vue", 0, 93, 0, 0, 2, 95
"d:\vue_learn\online-test-system\src\pages\Tables\WorkArrangeTable.vue", "Vue", 0, 155, 0, 7, 4, 166
"d:\vue_learn\online-test-system\src\router\index.js", "JavaScript", 875, 0, 0, 0, 9, 884
"Total", "-", 1580, 6652, 8, 59, 296, 8595
