"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\assets\jsons\applicationForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\jsonGenerator\generator.js", "JavaScript", 64, 0, 0, 0, 11, 75
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationForm.vue", "Vue", 0, 123, 0, 0, -1, 122
"d:\vue_learn\online-test-system\src\pages\Tables\ClientItemTable.vue", "Vue", 0, 1, 0, 0, 0, 1
"Total", "-", 64, 124, 1, 0, 10, 199
