"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\App.vue", "Vue", 0, 20, 0, 0, 5, 25
"d:\vue_learn\online-test-system\src\assets\jsons\applicationForm.json", "JSON", 0, 0, 1, 0, 0, 1
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\MultipleCreateAndSelect.vue", "Vue", 0, 86, 0, 12, 8, 106
"d:\vue_learn\online-test-system\src\components\ChooseAndSelect\SelectAndCreateTags.vue", "Vue", 0, 89, 0, 11, 9, 109
"d:\vue_learn\online-test-system\src\components\Footers\PageFooter.vue", "Vue", 0, 18, 0, 0, 3, 21
"d:\vue_learn\online-test-system\src\components\Headers\LoginHeader.vue", "Vue", 0, 23, 0, 0, 3, 26
"d:\vue_learn\online-test-system\src\components\Menus\AdminMenu.vue", "Vue", 0, 87, 0, 6, 2, 95
"d:\vue_learn\online-test-system\src\components\Menus\ClientMenu.vue", "Vue", 0, 69, 0, 6, 2, 77
"d:\vue_learn\online-test-system\src\components\Menus\EmployeeMenu.vue", "Vue", 0, 70, 0, 0, 2, 72
"d:\vue_learn\online-test-system\src\jsonGenerator\generator.js", "JavaScript", 64, 0, 0, 0, 11, 75
"d:\vue_learn\online-test-system\src\main.js", "JavaScript", 29, 0, 0, 1, 6, 36
"d:\vue_learn\online-test-system\src\pages\Details\ClientDetail.vue", "Vue", 0, 137, 0, 0, 14, 151
"d:\vue_learn\online-test-system\src\pages\Details\EmployeeDetail.vue", "Vue", 0, 124, 0, 0, 12, 136
"d:\vue_learn\online-test-system\src\pages\Details\ItemDetail.vue", "Vue", 0, 356, 0, 1, 8, 365
"d:\vue_learn\online-test-system\src\pages\Explanations\ApplicationExplanation.vue", "Vue", 0, 56, 0, 2, 5, 63
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationForm.vue", "Vue", 0, 724, 0, 0, 11, 735
"d:\vue_learn\online-test-system\src\pages\Forms\ApplicationVerifyForm.vue", "Vue", 0, 138, 0, 1, 4, 143
"d:\vue_learn\online-test-system\src\pages\Forms\ChangePassword.vue", "Vue", 0, 51, 0, 0, 2, 53
"d:\vue_learn\online-test-system\src\pages\Forms\DocumentReviewForm.vue", "Vue", 0, 391, 0, 0, 3, 394
"d:\vue_learn\online-test-system\src\pages\Forms\EmployeeInfoForm.vue", "Vue", 0, 92, 0, 0, 6, 98
"d:\vue_learn\online-test-system\src\pages\Forms\LoginForm.vue", "Vue", 0, 112, 0, 4, 4, 120
"d:\vue_learn\online-test-system\src\pages\Forms\RegisterForm.vue", "Vue", 0, 115, 0, 5, 5, 125
"d:\vue_learn\online-test-system\src\pages\Forms\ReportVerifyForm.vue", "Vue", 0, 176, 0, 0, 4, 180
"d:\vue_learn\online-test-system\src\pages\Forms\TestFunctionList.vue", "Vue", 0, 153, 0, 2, 8, 163
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanForm.vue", "Vue", 0, 230, 0, 0, 4, 234
"d:\vue_learn\online-test-system\src\pages\Forms\TestPlanVerifyForm.vue", "Vue", 0, 158, 0, 0, 4, 162
"d:\vue_learn\online-test-system\src\pages\Forms\TestRecordsForm.vue", "Vue", 0, 173, 0, 0, 12, 185
"d:\vue_learn\online-test-system\src\pages\Forms\TestReportForm.vue", "Vue", 0, 607, 0, 0, 4, 611
"d:\vue_learn\online-test-system\src\pages\Forms\TestWorkCheck.vue", "Vue", 0, 321, 0, 0, 16, 337
"d:\vue_learn\online-test-system\src\pages\Forms\UserInfoForm.vue", "Vue", 0, 73, 0, 0, 4, 77
"d:\vue_learn\online-test-system\src\pages\Pages\AdminPage.vue", "Vue", 0, 48, 0, 0, 3, 51
"d:\vue_learn\online-test-system\src\pages\Pages\ClientPage.vue", "Vue", 0, 44, 0, 0, 4, 48
"d:\vue_learn\online-test-system\src\pages\Pages\EmployeePage.vue", "Vue", 0, 49, 0, 0, 3, 52
"d:\vue_learn\online-test-system\src\pages\Pages\LoginPage.vue", "Vue", 0, 46, 0, 0, 2, 48
"d:\vue_learn\online-test-system\src\pages\Process\ClientAcceptQuotation.vue", "Vue", 0, 35, 0, 0, 3, 38
"d:\vue_learn\online-test-system\src\pages\Process\ClientCheckApplication.vue", "Vue", 0, 56, 0, 0, 4, 60
"d:\vue_learn\online-test-system\src\pages\Process\ClientConfirmReport.vue", "Vue", 0, 53, 0, 0, 5, 58
"d:\vue_learn\online-test-system\src\pages\Process\ClientCreateApplication.vue", "Vue", 0, 46, 0, 1, 3, 50
"d:\vue_learn\online-test-system\src\pages\Process\ClientLoadApplication.vue", "Vue", 0, 49, 0, 0, 4, 53
"d:\vue_learn\online-test-system\src\pages\Process\ClientUploadSamples.vue", "Vue", 0, 35, 0, 0, 2, 37
"d:\vue_learn\online-test-system\src\pages\Process\ClientVerifyTestReport.vue", "Vue", 0, 34, 0, 0, 4, 38
