"filename", "language", "JavaScript", "Vue", "JSON", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeArrangeMission.vue", "Vue", 0, 38, 0, 0, 3, 41
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeCheckApplication.vue", "Vue", 0, 77, 0, 0, 3, 80
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeCheckTestWork.vue", "Vue", 0, 57, 0, 0, 3, 60
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeEditTestReport.vue", "Vue", 0, 41, 0, 0, 3, 44
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeQuotation.vue", "Vue", 0, 36, 0, 0, 2, 38
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeTestProcess.vue", "Vue", 0, 56, 0, 0, 4, 60
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeVerifyTestPlan.vue", "Vue", 0, 53, 0, 0, 3, 56
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeVerifyTestReport.vue", "Vue", 0, 57, 0, 0, 3, 60
"d:\vue_learn\online-test-system\src\pages\Process\EmployeeWriteTestPlan.vue", "Vue", 0, 41, 0, 0, 3, 44
"d:\vue_learn\online-test-system\src\pages\Tables\AdminItemTable.vue", "Vue", 0, 81, 0, 0, 4, 85
"d:\vue_learn\online-test-system\src\pages\Tables\ClientItemTable.vue", "Vue", 0, 90, 0, 0, 4, 94
"d:\vue_learn\online-test-system\src\pages\Tables\ClientTable.vue", "Vue", 0, 85, 0, 0, 2, 87
"d:\vue_learn\online-test-system\src\pages\Tables\EmployeeItemTable.vue", "Vue", 0, 88, 0, 0, 2, 90
"d:\vue_learn\online-test-system\src\pages\Tables\EmployeeTable.vue", "Vue", 0, 92, 0, 0, 2, 94
"d:\vue_learn\online-test-system\src\pages\Tables\ItemForArrange.vue", "Vue", 0, 80, 0, 0, 2, 82
"d:\vue_learn\online-test-system\src\pages\Tables\WorkArrangeTable.vue", "Vue", 0, 155, 0, 7, 4, 166
"d:\vue_learn\online-test-system\src\router\index.js", "JavaScript", 823, 0, 0, 0, 9, 832
"Total", "-", 916, 6271, 1, 59, 274, 7521
