"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"d:\vue_learn\online-test-system\src\pages\Details\ClientDetail.vue", "Vue", 0, 11, 0, 0, 11
"d:\vue_learn\online-test-system\src\pages\Details\EmployeeDetail.vue", "Vue", 0, 8, 0, 0, 8
"d:\vue_learn\online-test-system\src\pages\Forms\EditEmployeeInfoForm.vue", "Vue", 0, 89, 0, 6, 95
"d:\vue_learn\online-test-system\src\pages\Tables\ClientAuthorityTable.vue", "Vue", 0, 57, 0, 2, 59
"d:\vue_learn\online-test-system\src\router\index.js", "JavaScript", 24, 0, 0, 0, 24
"Total", "-", 24, 165, 0, 8, 197
